strata,village_size,classrooms,class_size,hh_size,asset_index,mom_educ,dist_school,mom_caregiver,cg_literacy,cg_vocab,cg_digit_span,male,haz,enrolled,mom_age,health_invest,stim_activities,age_months,chores,receptive,expressive,fine_motor,literacy,enumerator
1022,46,10,23.8,4,3.396381,11,268.55668,1,18,6,9,1,.024607,1,31,7,11,94,1,1.407629,1.336079,6,.9340548,4
2022,33,8,29.75,3,-1.383458,8,429.95791,0,0,0,3,1,.3995052,1,22,6,6,89,1,1.044513,.9634486,6,-.5462406,2
2011,17,8,19,7,4.505867,11,575.83019,1,20,6,7,0,-.3642356,1,41,6,11,93,1,.5867764,-.4350394,6,-.0554886,1
1021,44,8,23.75,8,4.013542,7,596.20989,1,14,3,5,1,-.132779,1,35,6,10,88,1,.5613781,-.3894454,6,-.5154242,1
2012,24,8,21.25,4,-1.997318,6,162.35253,1,18,5,5,1,.1785182,1,22,7,5,75,1,-1.051667,.5599737,6,-.4604929,3
1022,42,8,33.375,4,-.838983,6,541.20438,1,0,3,3,0,-.9135144,0,19,4,5,73,1,-1.522789,-1.645402,6,-.3809329,1
2022,47,8,41.375,8,-1.009681,7,372.88448,1,19,6,7,1,-1.310506,1,40,5,12,74,1,-.8747919,-.8718622,6,-.3022628,3
1022,36,8,35.25,4,1.963103,6,642.33949,1,0,5,2,0,.8023871,1,49,6,11,81,0,1.18104,.9363346,6,2.591873,1
2021,35,8,36.5,9,-1.04606,8,652.57831,0,20,6,6,0,-.1084194,1,41,6,10,82,1,-.2736243,-.2330917,6,-.2392087,3
1021,36,5,59,6,-2.686421,6,646.41899,1,18,2,5,0,-.1572229,1,25,7,11,92,1,-.3955514,-1.708699,6,-.6512328,1
1022,43,9,25.88889,6,-.5302935,7,352.03613,1,18,6,7,0,-1.342717,0,30,7,4,72,1,-.1257049,-.0230777,5,-.3809329,3
1041,46,9,38.55556,7,-.5394241,10,604.07125,1,20,5,6,1,3.539606,1,37,3,7,91,1,.3298672,.103356,6,-.4315572,1
2021,38,9,38.55556,6,-2.626475,8,607.15334,1,20,3,10,1,-2.844129,0,27,5,11,72,1,-.474976,-.5638524,5,-.3809329,4
2022,47,8,41.375,5,.3943825,8,739.80789,1,20,6,6,1,2.443696,1,33,5,6,95,1,.8509515,2.144812,6,2.716193,2
1021,41,8,50,6,-.4504199,12,275.96516,1,20,6,11,1,-2.652469,1,38,7,15,90,1,-.6708259,-.1241989,5,-.5967537,4
1041,23,15,9.466666,6,-.165598,8,404.24241,1,19,3,4,1,-.0686864,1,40,7,10,80,1,-2.016614,-2.129064,4,-.497312,3
2021,32,6,24,6,-1.061877,8,313.66264,1,19,5,12,1,-.5232196,0,21,5,8,74,0,-.9928668,.0757012,6,-.4402137,2
1021,37,8,36.25,10,-1.988074,6,181.67326,1,0,4,5,1,1.27303,1,44,7,9,88,1,1.460921,.8344425,6,-.4091951,3
2021,34,8,23.25,5,-.113109,12,550.97695,1,20,6,6,1,-1.829989,1,29,5,11,93,1,-1.444363,-.7886847,6,-.7275974,4
2022,37,8,38,11,-.5077409,8,93.911935,1,5,4,7,0,-.117534,1,23,6,11,77,1,.5901227,-.1385455,6,-.3945893,3
1022,43,9,25.88889,4,-2.04386,11,229.27922,1,20,5,10,1,-1.485803,1,31,6,10,88,1,-.0163862,-.168019,6,-.4684323,1
1021,41,8,50,8,-2.235208,5,468.36543,1,0,3,6,1,-1.130057,1,35,4,9,80,1,-2.332074,-1.372325,6,-.4314462,4
2012,18,8,32.5,10,-.9663056,8,494.12498,1,16,6,9,0,-.7030055,1,34,7,7,84,0,.4906676,.0703892,6,-.1817271,4
2011,19,8,23.625,4,1.438079,7,286.74134,1,19,6,9,1,-1.792261,0,20,6,5,73,1,-1.875489,-.8153956,4,-.4180927,3
1041,23,15,9.466666,7,3.460194,11,510.71226,0,20,6,6,1,.1470665,1,24,7,16,87,1,1.127376,.3425995,6,.1086022,1
1042,28,9,52.44444,5,1.735241,8,640.4495,1,20,5,6,1,.5584345,0,32,8,5,72,1,-.1400781,.0951138,6,-.2132588,2
2011,27,8,26.25,4,-1.023771,6,336.84611,1,16,6,8,1,-.8566439,1,26,5,8,95,1,1.306385,1.085585,6,-.5153035,1
1022,38,8,42.25,3,-.5185888,8,240.53874,1,20,6,7,1,-1.321491,1,24,7,10,80,0,.4403904,1.182275,6,.8734559,3
1041,23,15,9.466666,5,-.540794,7,569.01838,1,0,5,4,1,.1562018,1,39,7,8,76,0,.8249429,.8090446,6,-.324079,2
2022,45,8,30.375,6,-.7928326,8,602.53361,1,19,6,10,1,-2.00728,1,29,5,9,89,1,.8628681,.7832148,6,-.5831165,2
2022,37,8,38,8,3.314793,9,284.51716,0,20,6,10,1,-4.171819,0,23,6,12,76,0,-1.053619,-.8153956,4,-.4180927,2
2022,33,8,29.75,6,3.844882,11,593.94516,1,19,6,2,0,-.7564086,1,26,8,11,94,1,-.887745,.303279,6,.8839656,1
1021,41,6,41.16667,8,-2.25004,3,340.58901,1,10,5,5,1,-2.25151,1,28,7,10,82,0,-.4545586,-.341467,5,-.5326382,3
1021,41,6,41.16667,7,.0681988,0,484.93581,1,0,3,2,0,-.3270355,1,34,6,5,78,1,-2.120914,-1.06503,6,-.4604929,2
2021,31,9,14.11111,8,1.628153,7,216.26017,0,18,6,4,1,-.4281395,1,19,7,10,76,1,.7987375,1.046711,6,-.1283408,3
2021,32,6,24,10,5.087281,12,694.63116,1,19,6,9,0,.5837898,1,32,7,9,81,1,.6454641,-.2055233,6,-.1636524,2
2012,24,8,21.25,4,1.266751,8,312.67644,1,20,4,7,1,-.5404345,1,35,6,9,88,0,-.1460332,.6476328,6,.5208718,3
2022,47,8,41.375,5,-3.670781,6,564.51371,1,0,3,6,1,-1.017037,1,21,7,10,80,1,-1.871215,-1.07711,6,-.5472059,2
2012,26,8,50.5,6,-.1798463,5,418.93617,1,5,4,6,1,1.201389,1,26,6,1,91,1,.3298672,-.0326158,6,-.665679,4
1022,46,10,23.8,10,-.6636931,8,134.64723,1,20,4,5,0,2.372786,1,37,7,5,88,1,.6318489,1.599227,6,3.010043,2
2021,34,9,38.77778,6,2.563615,8,639.01448,1,0,6,4,0,-1.723113,1,33,5,14,75,1,-1.170473,.0183059,6,-.4604929,1
1012,21,8,21.25,5,1.071393,5,376.17645,0,0,2,0,0,-.6444819,1,36,4,6,77,1,.2551904,-.3879449,6,-.438057,1
1022,42,8,33.375,5,-1.324286,11,586.6587,0,0,5,7,0,-1.221075,1,19,7,11,75,1,-1.288439,-2.845946,5,-.3005756,1
1022,43,9,25.88889,7,4.607963,10,150.75598,1,20,4,6,0,-.775902,1,40,6,13,85,0,.9246057,.3945248,6,-.2388431,3
1022,46,10,23.8,4,-2.173292,4,83.30115,1,0,1,6,0,-.55454,1,25,6,12,80,0,-2.453216,-1.372325,5,-.5154535,4
2022,37,8,38,5,-1.700432,8,268.88946,1,0,5,3,0,-.2456588,1,27,6,6,83,1,-.4634217,-.9666378,6,-.1932414,1
1031,18,9,32.77778,9,-.3311905,7,224.35448,0,19,5,7,1,-2.093337,1,26,7,8,91,0,-.2749785,-.3961108,6,-.2149056,4
2022,45,8,30.375,7,-.9814889,5,409.14007,1,19,0,5,0,.138168,1,28,6,5,86,1,.1132608,.5116909,6,-.5554701,4
1022,38,8,42.25,11,-1.742659,5,417.91371,1,5,4,4,1,-1.646379,1,42,6,5,83,1,.2872997,-1.132129,6,-.5634037,2
1021,44,8,23.75,11,4.478892,11,622.63098,1,19,6,4,0,1.624509,1,47,7,11,86,1,.432872,.4264798,5,.1951026,4
2022,37,8,38,7,1.039135,10,384.63522,1,19,6,5,0,-.1676031,1,35,7,10,80,1,-.3929607,-1.893496,6,-.2280509,1
1021,37,8,36.25,7,-.8577517,3,264.5533,0,0,6,5,1,-.1981155,1,35,6,6,93,1,.6329624,.4239015,6,-.5408913,3
2021,34,8,23.25,6,-.3140216,7,373.90439,1,20,5,6,1,-1.291696,1,28,7,10,86,1,-.6035914,-.3514388,6,-.6618039,1
